,price,m2,age,floor,total_room,district_encoded,neighbor_encoded
4311,4600000,89,0,3.0,3,5877304.964539007,4694375.0
4312,1450000,95,16,12.0,4,2769582.4657534244,8458499.964285715
4313,3350000,75,11,2.0,2,5848907.837837838,6471745.098039215
4314,4450000,170,8,3.0,4,5749051.802409639,4267661.957746479
4315,5200000,110,5,8.0,3,5848907.837837838,5276792.333333333
4316,20950000,130,0,3.0,4,18766793.31306991,17185621.62162162
4317,7500000,130,29,7.0,3,8508896.555172414,5710389.610389611
4318,13500000,180,0,0.0,5,11259699.059561128,8964285.714285715
4319,7400000,120,6,8.0,4,9683732.91925466,6419555.555555556
4320,3750000,90,0,0.5,3,3909949.1525423727,3681250.0
4321,8850000,110,0,3.0,3,5749051.802409639,6577302.325581395
4322,6400000,160,26,3.0,3,7437451.282051282,4810000.0
4323,2465000,135,0,2.0,3,4970295.55403868,3526234.2890625
4325,11250000,120,0,5.0,3,7962301.739130435,7841056.338028169
4327,3399000,105,0,2.0,3,2769582.4657534244,2487814.777777778
4328,2450000,85,0,0.0,3,3987994.5945945946,3597857.07936508
4329,23500000,120,1,11.0,4,18766793.31306991,26454424.778761063
4330,9750000,85,0,3.0,3,18766793.31306991,13471150.0
4331,12950000,200,0,5.0,6,7962301.739130435,7948520.599250936
4332,17900000,130,5,1.0,4,18766793.31306991,21011136.363636363
4333,5150000,60,5,0.0,2,7962301.739130435,9215404.624277456
4334,8000000,162,5,1.0,4,4138010.251282051,6994235.820895523
4336,6490000,150,25,0.5,4,6106125.056426332,4706222.804347826
4337,3950000,90,13,3.0,3,7340518.640677966,5858333.333333333
4339,19750000,140,4,5.0,3,18766793.31306991,20307026.315789472
4340,4400000,70,21,8.0,2,5297494.923337092,9753616.279069768
4341,7500000,145,40,4.0,4,8397364.775800712,7487454.545454546
4343,4289000,75,5,4.0,2,8011979.826612903,5313413.043478261
4344,4350000,80,1,3.0,3,7962301.739130435,5809861.111111111
4345,4000000,75,0,3.0,3,5749051.802409639,3768709.677419354
4346,6500000,124,13,5.0,3,7962301.739130435,5226666.666666667
4347,2250000,80,5,0.0,3,2769582.4657534244,2772500.0
4348,10250000,120,40,4.0,4,18840772.21851852,13988888.888888888
4349,3275000,120,0,13.0,3,2769582.4657534244,3702766.6666666665
