price,m2,age,floor,district,neighbor,total_room
3850000,90,5,0.5,Bayrampaşa,Vatan Mah.,3
13250000,85,50,-1.0,Beyoğlu,Kılıçali Paşa Mah.,3
1450000,170,0,1.0,Beylikdüzü,Beylikdüzü OSB Mah.,5
4500000,150,21,4.0,Büyükçekmece,Mimaroba Mah.,4
3850000,75,0,-1.0,Beşiktaş,Türkali Mah.,2
5250000,95,6,1.0,Küçükçekmece,Yeni Mahalle Mah.,3
1950000,110,50,4.0,Kağıthane,Çağlayan Mah.,3
2650000,100,28,3.0,Güngören,Gençosman Mah.,3
4100000,110,0,3.0,Silivri,Yeni Mah.,3
24500000,148,8,8.0,Kadıköy,Caddebostan Mah.,4
9500000,85,0,1.0,Bahçelievler,Bahçelievler Mah.,3
2700000,110,31,1.0,Güngören,Haznedar Mah.,3
4175000,130,5,1.0,Büyükçekmece,Dizdariye Mah.,4
2490000,90,16,0.5,Avcılar,Mustafa Kemal Paşa Mah.,3
16250000,125,10,3.0,Kadıköy,19 Mayıs Mah.,4
7500000,205,0,5.0,Gaziosmanpaşa,Barbaros Hayrettinpaşa Mah.,5
3450000,105,24,1.0,Gaziosmanpaşa,Karlıtepe Mah.,3
